epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,82.0547,0.88724,1.21958,1.08605,1,0.32037,0.45618,0.30746,1.28829,2.90138,1.41738,0.000490728,0.000490728,0.000490728
44,82.6108,0.70543,1.01395,0.99701,1,0.32037,0.45618,0.30746,1.28829,2.90138,1.41738,0.000493898,0.000493898,0.000493898
45,83.2097,0.76037,1.00232,0.99407,1,0.30975,0.49196,0.36286,1.29639,2.86092,1.43186,0.000496672,0.000496672,0.000496672
46,83.8135,0.79985,1.11019,1.06673,1,0.30975,0.49196,0.36286,1.29639,2.86092,1.43186,0.00049905,0.00049905,0.00049905
47,84.4443,0.86442,1.02137,1.10782,1,0.32347,0.59599,0.38839,1.34884,2.85016,1.44101,0.000501032,0.000501032,0.000501032
48,85.046,0.74438,1.04952,0.99139,1,0.32347,0.59599,0.38839,1.34884,2.85016,1.44101,0.000502618,0.000502618,0.000502618
49,85.668,0.75217,0.98798,0.99377,1,0.39186,0.63014,0.32903,1.39408,2.95902,1.53998,0.000503808,0.000503808,0.000503808
50,86.3508,0.71923,1.04493,0.9775,1,0.39186,0.63014,0.32903,1.39408,2.95902,1.53998,0.000504602,0.000504602,0.000504602
51,86.9571,0.80661,1.18321,1.08702,0.3878,0.625,0.5663,0.29961,1.32411,3.07109,1.57574,0.000505,0.000505,0.000505
52,87.5237,0.87094,1.07283,1.09167,0.3878,0.625,0.5663,0.29961,1.32411,3.07109,1.57574,0.000505002,0.000505002,0.000505002
53,94.4328,0.65832,0.93053,0.96482,0.3878,0.625,0.5663,0.29961,1.32411,3.07109,1.57574,0.000504608,0.000504608,0.000504608
54,95.0329,0.81768,1.12665,1.07998,0.51315,0.625,0.57374,0.29845,1.41092,3.08607,1.62609,0.000503818,0.000503818,0.000503818
55,95.5901,0.70407,1.01223,0.95263,0.51315,0.625,0.57374,0.29845,1.41092,3.08607,1.62609,0.000502632,0.000502632,0.000502632
56,96.1586,0.79957,1.0502,0.99364,0.51315,0.625,0.57374,0.29845,1.41092,3.08607,1.62609,0.00050105,0.00050105,0.00050105
57,96.7782,0.77653,1.00693,1.00857,1,0.49937,0.58153,0.31011,1.36023,3.00979,1.56078,0.000499072,0.000499072,0.000499072
58,103.812,0.71683,0.9916,1.04988,1,0.49937,0.58153,0.31011,1.36023,3.00979,1.56078,0.000496698,0.000496698,0.000496698
59,104.446,0.70204,0.95498,0.96964,1,0.49937,0.58153,0.31011,1.36023,3.00979,1.56078,0.000493928,0.000493928,0.000493928
