epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27448,1.63529,3.31016,1.71088,0.00373,1,0.25669,0.18952,1.04226,3.31053,1.20287,0.0001,0.0001,0.0001
2,5.98433,1.39981,2.80566,1.45361,0.00373,1,0.76144,0.36223,1.27386,3.25064,1.38347,0.000218911,0.000218911,0.000218911
3,7.66263,1.41426,2.05152,1.40543,0.00373,1,0.70219,0.37508,1.32356,3.30546,1.48893,0.000336634,0.000336634,0.000336634
4,12.6863,1.31059,2.0031,1.36887,0.00373,1,0.65711,0.2868,1.64783,3.63916,1.72123,0.000453169,0.000453169,0.000453169
5,15.1774,1.0806,1.82104,1.25564,0.00994,1,0.80016,0.39354,1.43143,3.20916,1.68695,0.000568516,0.000568516,0.000568516
6,16.7495,1.05988,1.60307,1.22258,0.88749,0.41576,0.81023,0.39166,1.4007,3.09323,1.67519,0.000682675,0.000682675,0.000682675
7,18.2625,1.06074,1.49787,1.20338,0.76239,0.33927,0.69969,0.39732,1.36189,2.93787,1.55154,0.000795646,0.000795646,0.000795646
8,24.0341,1.1342,1.59905,1.33975,0.72623,0.63158,0.83357,0.44738,1.35867,2.61452,1.58066,0.000907429,0.000907429,0.000907429
9,25.5999,1.10591,1.67751,1.27196,0.92395,0.63998,0.85301,0.42478,1.43636,2.51562,1.64297,0.00101802,0.00101802,0.00101802
10,27.1068,1.14645,1.55546,1.25126,0.79737,0.31579,0.64659,0.28911,1.60623,3.15189,1.80467,0.00112743,0.00112743,0.00112743
11,28.6334,1.09345,1.56426,1.23758,0.71556,0.52632,0.72284,0.32823,1.54801,2.71282,1.7096,0.00123565,0.00123565,0.00123565
12,30.0973,1.05418,1.45877,1.22002,0.62591,0.52849,0.64841,0.3823,1.49474,2.70121,1.66037,0.00134268,0.00134268,0.00134268
13,31.5983,1.16463,1.53845,1.27847,0.63571,0.63158,0.65188,0.36907,1.27587,2.66252,1.30566,0.00144852,0.00144852,0.00144852
14,38.175,1.21161,1.47867,1.25078,0.72362,0.42105,0.58015,0.27406,1.4746,2.83809,1.48512,0.00155318,0.00155318,0.00155318
15,39.6551,1.15653,1.4823,1.24473,0.77146,0.63158,0.69305,0.28434,1.66429,2.49867,1.68839,0.00165665,0.00165665,0.00165665
16,41.1246,1.0828,1.48925,1.20988,0.81365,0.52632,0.65305,0.24814,1.57708,2.21521,1.89204,0.00175893,0.00175893,0.00175893
17,42.6324,1.16235,1.56561,1.28026,0.69492,0.89474,0.76908,0.37674,1.57725,1.76435,1.68432,0.0018416,0.0018416,0.0018416
18,44.138,1.05383,1.33731,1.15243,0.53368,0.73684,0.57567,0.26532,1.70976,2.12789,1.78282,0.0018317,0.0018317,0.0018317
19,45.6069,1.05975,1.41457,1.19429,0.32857,0.47368,0.3328,0.15158,1.79578,2.68954,1.96234,0.0018218,0.0018218,0.0018218
20,47.1021,1.19476,1.43533,1.31228,0.38069,0.25913,0.23469,0.10513,1.81404,3.22021,1.82791,0.0018119,0.0018119,0.0018119
21,53.4663,1.0691,1.30013,1.22252,0.29697,0.42105,0.41334,0.1858,1.96471,2.86196,1.82266,0.001802,0.001802,0.001802
22,54.9471,1.07698,1.29403,1.21627,0.55954,0.52632,0.5425,0.28742,1.7678,2.57145,1.78045,0.0017921,0.0017921,0.0017921
23,56.4545,1.02071,1.27074,1.1518,0.81451,0.94737,0.93336,0.4411,1.53959,1.73575,1.76904,0.0017822,0.0017822,0.0017822
24,57.9917,1.02244,1.19092,1.19038,0.86213,0.89474,0.93126,0.47314,1.57238,1.70185,1.75225,0.0017723,0.0017723,0.0017723
25,59.526,1.00013,1.18312,1.15576,0.74756,0.78947,0.74719,0.41835,1.46004,1.98869,1.73773,0.0017624,0.0017624,0.0017624
26,60.9974,1.01629,1.11985,1.1323,0.73264,0.63158,0.6874,0.35926,1.49993,2.13322,1.68929,0.0017525,0.0017525,0.0017525
27,66.6633,1.07459,1.16224,1.24616,0.73268,0.78947,0.74814,0.40446,1.39533,1.81559,1.68145,0.0017426,0.0017426,0.0017426
28,68.1961,1.0544,1.09235,1.17001,0.97216,0.89474,0.96382,0.46898,1.55056,1.41437,1.82855,0.0017327,0.0017327,0.0017327
29,69.6748,0.95007,1.02674,1.14512,0.8889,0.8422,0.95777,0.48351,1.50686,1.7023,1.74463,0.0017228,0.0017228,0.0017228
30,77.3114,0.9674,1.14815,1.21451,0.85155,0.94737,0.91692,0.52339,1.37247,1.68502,1.5681,0.0017129,0.0017129,0.0017129
31,78.8578,0.88278,0.96109,1.08207,0.8584,0.95759,0.97152,0.57416,1.30267,1.67066,1.48705,0.001703,0.001703,0.001703
32,80.4086,0.95341,1.05954,1.1671,0.93564,0.89474,0.92635,0.49476,1.55052,1.43592,1.6558,0.0016931,0.0016931,0.0016931
33,81.938,0.9156,1.04095,1.12918,0.72838,0.84701,0.86715,0.38118,1.8126,1.47671,1.83827,0.0016832,0.0016832,0.0016832
34,83.401,1.0452,1.04358,1.14234,0.6763,0.88015,0.77543,0.32926,1.88457,1.64498,1.84543,0.0016733,0.0016733,0.0016733
35,89.5541,0.88434,0.94474,1.06632,0.78758,0.63158,0.72463,0.30739,1.80642,2.21282,1.78955,0.0016634,0.0016634,0.0016634
36,91.0276,0.99299,1.09782,1.16262,0.6775,0.84211,0.80822,0.42413,1.49449,2.29843,1.53335,0.0016535,0.0016535,0.0016535
37,92.5248,0.9068,0.98908,1.11176,0.88876,0.89474,0.963,0.53763,1.42114,1.45762,1.53932,0.0016436,0.0016436,0.0016436
38,94.0371,0.87832,0.92024,1.03814,0.79325,0.89474,0.92422,0.47833,1.59855,1.30421,1.72477,0.0016337,0.0016337,0.0016337
39,95.5149,0.93254,0.98707,1.09913,0.93347,0.94737,0.96363,0.51339,1.52784,1.18503,1.60605,0.0016238,0.0016238,0.0016238
40,96.9792,0.9147,0.89727,1.10828,0.92547,0.94737,0.96932,0.548,1.45315,1.11875,1.56123,0.0016139,0.0016139,0.0016139
41,98.446,1.01778,0.97066,1.12759,0.99373,1,0.995,0.54588,1.50176,1.14047,1.56439,0.001604,0.001604,0.001604
42,104.623,0.93324,0.8979,1.06858,0.98344,0.94737,0.97469,0.48176,1.68724,1.35388,1.71184,0.0015941,0.0015941,0.0015941
43,106.13,0.92865,0.94438,1.10162,0.94067,0.94737,0.92704,0.52572,1.54001,1.13153,1.7342,0.0015842,0.0015842,0.0015842
44,107.592,0.8584,0.8784,1.05866,0.94702,0.94101,0.95945,0.51331,1.4887,1.08252,1.70007,0.0015743,0.0015743,0.0015743
45,109.088,0.88136,0.87964,1.06212,0.8879,0.83413,0.87947,0.49673,1.43202,1.39717,1.73317,0.0015644,0.0015644,0.0015644
46,110.555,0.86108,0.92448,1.06947,0.93087,0.70966,0.83698,0.4691,1.44702,2.04682,1.73052,0.0015545,0.0015545,0.0015545
47,116.941,0.87761,0.87381,1.07245,0.54787,0.63158,0.69345,0.41538,1.44103,2.34194,1.63225,0.0015446,0.0015446,0.0015446
48,118.452,0.80677,0.83805,1.06789,0.9306,0.68421,0.87727,0.53913,1.48115,1.74066,1.69715,0.0015347,0.0015347,0.0015347
49,119.921,0.87721,0.91166,1.06935,0.84868,0.94737,0.91635,0.59585,1.37048,1.25714,1.5744,0.0015248,0.0015248,0.0015248
50,121.468,0.8148,0.77745,1.05502,0.94557,0.94737,0.9325,0.58196,1.39116,1.02158,1.55708,0.0015149,0.0015149,0.0015149
51,122.944,0.84832,0.77987,1.11133,0.94674,0.94737,0.9267,0.5915,1.30496,1.03022,1.44466,0.001505,0.001505,0.001505
