epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,82.2407,0.91722,1.19655,1.05449,1,0.36059,0.87536,0.59627,1.28907,2.55211,1.33637,0.000607152,0.000607152,0.000607152
44,82.8771,0.74108,1.05406,1.00173,1,0.36059,0.87536,0.59627,1.28907,2.55211,1.33637,0.000615932,0.000615932,0.000615932
45,83.5731,0.76885,1.0365,0.97973,1,0.29769,0.87536,0.56905,1.27055,2.59127,1.29277,0.000624448,0.000624448,0.000624448
46,84.1505,0.83556,1.08048,1.1053,1,0.29769,0.87536,0.56905,1.27055,2.59127,1.29277,0.0006327,0.0006327,0.0006327
47,84.8972,0.78751,0.96266,1.05195,1,0.26213,0.84462,0.55606,1.30168,2.7032,1.34405,0.000640688,0.000640688,0.000640688
48,85.4676,0.76638,1.05132,1.01629,1,0.26213,0.84462,0.55606,1.30168,2.7032,1.34405,0.000648412,0.000648412,0.000648412
49,86.084,0.78592,0.96168,0.98186,1,0.23269,0.54024,0.27845,1.49796,2.95292,1.54202,0.000655872,0.000655872,0.000655872
50,86.674,0.73165,0.97717,0.97076,1,0.23269,0.54024,0.27845,1.49796,2.95292,1.54202,0.000663068,0.000663068,0.000663068
51,87.2827,0.81597,1.11515,1.07544,1,0.21432,0.46062,0.19512,1.73855,3.12627,1.7353,0.00067,0.00067,0.00067
52,87.8425,0.77422,0.95637,1.03318,1,0.21432,0.46062,0.19512,1.73855,3.12627,1.7353,0.000676668,0.000676668,0.000676668
53,88.4138,0.67017,0.93388,0.95458,1,0.21432,0.46062,0.19512,1.73855,3.12627,1.7353,0.000683072,0.000683072,0.000683072
54,89.1638,0.7366,1.03704,1.04423,1,0.22741,0.3832,0.18514,1.59033,3.08012,1.58526,0.000689212,0.000689212,0.000689212
55,89.7388,0.75572,1.03271,0.99401,1,0.22741,0.3832,0.18514,1.59033,3.08012,1.58526,0.000695088,0.000695088,0.000695088
56,90.3061,0.83947,1.04467,1.08601,1,0.22741,0.3832,0.18514,1.59033,3.08012,1.58526,0.0007007,0.0007007,0.0007007
