epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.63845,0,2.39312,0,0.20781,0.2,0.17207,0.11414,1.75602,2.44209,1.32847,1.19e-06,1.19e-06,1.19e-06
2,3.35588,0,5.02971,0,0.20882,0.2,0.17982,0.11727,1.83281,2.35034,1.36357,2.86314e-06,2.86314e-06,2.86314e-06
3,3.78893,0,2.79074,0,0.20882,0.2,0.17982,0.11727,1.83281,2.35034,1.36357,3.5938e-06,3.5938e-06,3.5938e-06
4,4.2634,0,2.19856,0,0.2001,0.2,0.19556,0.1168,1.97189,2.30843,1.42723,3.38198e-06,3.38198e-06,3.38198e-06
5,4.70065,0,8.58752,0,0.2001,0.2,0.19556,0.1168,1.97189,2.30843,1.42723,2.22768e-06,2.22768e-06,2.22768e-06
